number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_factor,params_kernel_size,params_l1_lambda,params_lr,params_num_channels,params_patience,params_seq_len,params_wd,state
0,inf,2026-02-11 22:47:59.932340,2026-02-11 22:47:59.949418,0 days 00:00:00.017078,32,0.18012931121174408,0.4246376248898365,3,0.007027019122754872,0.0027922133130790848,"[256, 256]",10,18,1.056526508740203e-05,COMPLETE
1,inf,2026-02-11 22:48:00.226060,2026-02-11 22:48:00.234587,0 days 00:00:00.008527,64,0.2781614331301506,0.2280299262523953,2,0.00035230976765284486,0.004183991320937839,[256],5,6,4.459222134519694e-06,COMPLETE
2,inf,2026-02-11 22:48:00.237334,2026-02-11 22:48:00.241334,0 days 00:00:00.004000,32,0.2969845100248468,0.38682163156707816,3,2.573848078353802e-05,0.0027257599950559954,"[256, 256]",10,6,9.413536248445449e-06,COMPLETE
3,inf,2026-02-11 22:48:00.257940,2026-02-11 22:48:00.259940,0 days 00:00:00.002000,64,0.1626315528843461,0.4277300282041418,4,0.00010893024179918024,0.0013499936009127589,[64],5,12,1.7952451567118597e-06,COMPLETE
4,inf,2026-02-11 22:48:00.515357,2026-02-11 22:48:00.521186,0 days 00:00:00.005829,16,0.23006058061242357,0.35088642595229,3,0.00033543185786597386,0.0030888745446504707,"[64, 64]",10,24,3.7601943114213497e-05,COMPLETE
5,inf,2026-02-11 22:48:01.103073,2026-02-11 22:48:01.106488,0 days 00:00:00.003415,32,0.2124113453217253,0.20388963731940063,3,0.0004673180046407225,0.013705379481076448,[128],5,6,8.052007864101989e-06,COMPLETE
6,inf,2026-02-11 22:48:01.107499,2026-02-11 22:48:01.108495,0 days 00:00:00.000996,64,0.2505277183380963,0.4921435678234348,2,3.5250564673810216e-05,0.02843362617912793,"[64, 64]",10,12,9.308872042472524e-06,COMPLETE
7,inf,2026-02-11 22:48:01.410921,2026-02-11 22:48:01.410921,0 days 00:00:00,64,0.15206322451052856,0.2287437040668925,2,1.5627427132745966e-05,0.0037212405016984655,"[256, 256, 256]",10,18,1.1080692735435845e-05,COMPLETE
8,inf,2026-02-11 22:48:01.914761,2026-02-11 22:48:01.916536,0 days 00:00:00.001775,64,0.3988148004747134,0.3576479948599145,4,0.0002457767368220712,0.013000822576685112,[256],10,18,2.268866352494443e-05,COMPLETE
9,inf,2026-02-11 22:48:01.916536,2026-02-11 22:48:01.921253,0 days 00:00:00.004717,16,0.15992730793350687,0.27385723135401174,3,0.0004116752127717905,0.0005644073717156815,[256],5,24,5.106675863114928e-06,COMPLETE
10,inf,2026-02-11 22:48:02.412852,2026-02-11 22:48:02.426418,0 days 00:00:00.013566,32,0.16830596786538923,0.3913913334557391,3,0.004293101367555992,0.005349921072382946,"[256, 256]",10,3,2.4704695834450173e-06,COMPLETE
11,inf,2026-02-11 22:48:02.428415,2026-02-11 22:48:02.444311,0 days 00:00:00.015896,32,0.1541965758799672,0.35630650340347364,3,0.0070215008283279114,0.002512981712633329,"[256, 256]",10,18,5.56616955704307e-05,COMPLETE
12,inf,2026-02-11 22:48:02.921667,2026-02-11 22:48:02.942796,0 days 00:00:00.021129,64,0.3283618789820619,0.30755875148705725,2,0.00047312722340273126,0.00457432316024354,"[128, 128, 128]",5,6,4.896339889797126e-06,COMPLETE
13,inf,2026-02-11 22:48:03.196040,2026-02-11 22:48:03.227879,0 days 00:00:00.031839,64,0.1676758687864154,0.29919530039308306,2,0.0010526547274094609,0.0014787985732083956,"[256, 256, 256]",5,6,1.1356278661178378e-06,COMPLETE
14,inf,2026-02-11 22:48:03.200038,2026-02-11 22:48:03.227208,0 days 00:00:00.027170,64,0.26175684039839825,0.24035361317777004,2,0.0016227271986013134,0.0007597256147768654,[256],5,6,3.504966678439189e-06,COMPLETE
15,inf,2026-02-11 22:48:03.482536,2026-02-11 22:48:03.508714,0 days 00:00:00.026178,64,0.11955822733823399,0.4957598865358125,3,0.003563050766975382,0.004463528310467936,"[64, 64]",10,18,8.729208082036479e-06,COMPLETE
16,inf,2026-02-11 22:48:04.022671,2026-02-11 22:48:04.047550,0 days 00:00:00.024879,64,0.30568844099398257,0.23360400842060072,5,1.8150756327798236e-05,0.007612016584959578,[256],5,6,1.54307527541786e-06,COMPLETE
17,inf,2026-02-11 22:48:04.303829,2026-02-11 22:48:04.343359,0 days 00:00:00.039530,16,0.3035243054008977,0.27086183081967147,2,0.0013048435542569016,0.02112672268068842,[256],5,12,1.5620211692429738e-06,COMPLETE
18,inf,2026-02-11 22:48:04.321598,2026-02-11 22:48:04.339359,0 days 00:00:00.017761,32,0.18770419242616698,0.4034463614115393,5,0.009964637465635853,0.005965631484813097,"[256, 256]",5,18,9.819847834339692e-06,COMPLETE
